chr1 start1 end1 chr2 start2 end2 region
chrY 112001 120812 chrX 502010 510941 PAR
chrY 120888 123831 chrX 511221 514167 PAR
chrY 123502 124741 chrX 512783 514015 PAR
chrY 124743 126205 chrX 514129 515677 PAR
chrY 130385 133176 chrX 519221 522076 PAR
chrY 150671 148500 chrX 527446 529649 PAR
chrY 154477 150568 chrX 524099 528082 PAR
chrY 158502 156597 chrX 522192 524082 PAR
chrY 161854 158681 chrX 518830 522076 PAR
chrY 167484 165319 chrX 513456 515677 PAR
chrY 168548 166767 chrX 511716 513557 PAR
chrY 172605 168674 chrX 507752 511716 PAR
chrY 181333 172684 chrX 498973 507757 PAR
chrY 186603 183064 chrX 492173 495873 PAR
chrY 189049 190207 chrX 642819 643971 PAR
chrY 190112 186568 chrX 488555 492036 PAR
chrY 190205 195980 chrX 644205 649954 PAR
chrY 196821 203658 chrX 649634 656424 PAR
chrY 196985 194284 chrX 480561 483268 PAR
chrY 203652 207707 chrX 656549 660582 PAR
chrY 207720 209996 chrX 660670 662974 PAR
chrY 209996 203659 chrX 461903 468284 PAR
chrY 211337 212843 chrX 663650 665151 PAR
chrY 213183 220165 chrX 665208 672277 PAR
chrY 220353 222506 chrX 672522 674660 PAR
chrY 223378 231566 chrX 629488 637625 PAR
chrY 231496 233518 chrX 623999 626051 PAR
chrY 252513 256700 chrX 639689 643876 PAR
chrY 253367 232382 chrX 458790 479809 PAR
chrY 257314 253378 chrX 454429 458423 PAR
chrY 258299 259369 chrX 1143397 1144467 PAR
chrY 259357 260869 chrX 1587 3087 PAR
chrY 268859 261269 chrX 444322 451921 PAR
chrY 271673 269260 chrX 441802 444213 PAR
chrY 272026 270912 chrX 482151 483268 PAR
chrY 273251 274489 chrX 455061 456298 PAR
chrY 274138 272749 chrX 438033 439427 PAR
chrY 276868 275021 chrX 435297 437172 PAR
chrY 276868 275021 chrX 640253 642099 PAR
chrY 287413 289611 chrX 473242 475441 PAR
chrY 289611 277120 chrX 421356 433790 PAR
chrY 295266 292123 chrX 1890385 1893550 PAR
chrY 300140 302209 chrX 453957 456077 PAR
chrY 302207 297513 chrX 397105 401833 PAR
chrY 303689 302214 chrX 395460 396939 PAR
chrY 309902 303783 chrX 389313 395459 PAR
chrY 315751 309906 chrX 383249 389055 PAR
chrY 318411 315845 chrX 380127 382705 PAR
chrY 324175 318536 chrX 374500 380126 PAR
chrY 324676 326497 chrX 670414 672277 PAR
chrY 326685 328558 chrX 672522 674396 PAR
chrY 329708 330732 chrX 675763 676793 PAR
chrY 332298 335349 chrX 679262 682385 PAR
chrY 335962 338928 chrX 682995 686015 PAR
chrY 337441 335374 chrX 9968140 9970260 stratum3
chrY 339020 340134 chrX 686127 687243 PAR
chrY 343351 340635 chrX 2519253 2521973 stratum2
chrY 354304 355616 chrX 4495461 4496802 stratum2
chrY 354317 343351 chrX 4002759 4013768 stratum2
chrY 361244 354624 chrX 3995648 4002258 stratum2
chrY 366886 361444 chrX 3990277 3995636 stratum2
chrY 370198 371517 chrX 1883683 1885010 PAR
chrY 371078 366738 chrX 4015403 4019746 stratum2
chrY 374353 371646 chrX 3987572 3990270 stratum2
chrY 376316 399556 chrX 2536598 2559628 stratum2
chrY 386636 373909 chrX 2489517 2502189 PAR
chrY 399544 452569 chrX 2559712 2612746 stratum2
chrY 452789 453827 chrX 20521522 20522528 stratum1
chrY 453777 452571 chrX 14617724 14618931 stratum1
chrY 457290 458689 chrX 15548028 15549432 stratum1
chrY 457291 459338 chrX 1890135 1892221 PAR
chrY 482904 485361 chrX 2619503 2621966 stratum2
chrY 485833 484275 chrX 20609271 20610834 stratum1
chrY 502219 501071 chrX 6429544 6430692 stratum2
chrY 502835 504799 chrX 14618258 14620208 stratum1
chrY 504803 503333 chrX 10468946 10470421 stratum3
chrY 511415 509907 chrX 6426850 6428379 stratum2
chrY 518810 517556 chrX 20609267 20610522 stratum1
chrY 518817 517556 chrX 1890133 1891396 PAR
chrY 521063 522713 chrX 15915586 15917222 stratum1
chrY 523964 525314 chrX 15918359 15919630 stratum1
chrY 545685 548669 chrX 1587 4589 PAR
chrY 545752 544615 chrX 1555046 1556181 PAR
chrY 551139 553386 chrX 15919630 15921854 stratum1
chrY 555807 554426 chrX 20616332 20617657 stratum1
chrY 559811 560976 chrX 19053761 19054846 stratum1
chrY 564012 565099 chrX 15922584 15923626 stratum1
chrY 566618 568669 chrX 16767430 16769477 stratum1
chrY 578327 577183 chrX 20521522 20522645 stratum1
chrY 578831 577688 chrX 339453 340602 PAR
chrY 579848 578362 chrX 10468933 10470421 stratum3
chrY 598107 596731 chrX 20616332 20617652 stratum1
chrY 616270 614400 chrX 469952 471822 PAR
chrY 639782 640958 chrX 15345218 15346435 stratum1
chrY 672048 670607 chrX 16978876 16980378 stratum1
chrY 672053 673398 chrX 18748973 18750308 stratum1
chrY 678756 673393 chrX 16973442 16978879 stratum1
chrY 681596 683511 chrX 2943888 2945846 stratum2
chrY 699783 702820 chrX 3056086 3059130 stratum2
chrY 702387 699358 chrX 650024 652989 PAR
chrY 719428 718089 chrX 6454748 6456076 stratum2
chrY 722305 726522 chrX 18400315 18404530 stratum1
chrY 726541 730097 chrX 18405226 18408823 stratum1
chrY 741517 742618 chrX 18413186 18414255 stratum1
chrY 746576 748943 chrX 18417353 18419845 stratum1
chrY 749325 750413 chrX 13953617 13954719 stratum1
chrY 750605 752086 chrX 10468938 10470421 stratum3
chrY 751235 753730 chrX 1859179 1861501 PAR
chrY 754897 756255 chrX 18419932 18421275 stratum1
chrY 759591 761253 chrX 18421262 18422931 stratum1
chrY 761405 762640 chrX 18423287 18424553 stratum1
chrY 768995 771359 chrX 6426851 6429220 stratum2
chrY 777748 778984 chrX 6429297 6430584 stratum2
chrY 780199 781673 chrX 10468945 10470421 stratum3
chrY 780200 778984 chrX 1890442 1891664 PAR
chrY 780822 783311 chrX 1859179 1861501 PAR
chrY 794336 793168 chrX 15305807 15306999 stratum1
chrY 797376 795184 chrX 15303209 15305450 stratum1
chrY 800368 802777 chrX 1890137 1892592 PAR
chrY 802777 800849 chrX 2620004 2621955 stratum2
chrY 812346 811135 chrX 5537486 5538671 stratum2
chrY 822838 823900 chrX 20199962 20201068 stratum1
chrY 825374 826894 chrX 6426851 6428375 stratum2
chrY 833533 834930 chrX 6429300 6430706 stratum2
chrY 838623 839753 chrX 15605154 15606323 stratum1
chrY 868604 867421 chrX 14619034 14620213 stratum1
chrY 887460 886115 chrX 15673386 15674719 stratum1
chrY 888724 887624 chrX 15671917 15673084 stratum1
chrY 892344 891209 chrX 2498231 2499350 PAR
chrY 892739 891412 chrX 13953672 13954996 stratum1
chrY 925073 923436 chrX 12694089 12695718 stratum1
chrY 929680 927033 chrX 418277 420956 PAR
chrY 931680 930392 chrX 416979 418275 PAR
chrY 937909 936515 chrX 6429297 6430692 stratum2
chrY 944069 942562 chrX 6426851 6428375 stratum2
chrY 953627 952080 chrX 12687489 12689191 stratum1
chrY 956068 957082 chrX 4384 5387 PAR
chrY 957687 960063 chrX 4463017 4465432 stratum2
chrY 958570 957357 chrX 2788823 2790065 stratum2
chrY 971311 969428 chrX 12682711 12684529 stratum1
chrY 973659 974782 chrX 6893168 6894256 stratum3
chrY 977631 974845 chrX 12678698 12681542 stratum1
chrY 982457 981212 chrX 14617833 14619076 stratum1
chrY 993667 994970 chrX 19889992 19891280 stratum1
chrY 994966 993591 chrX 10468950 10470329 stratum3
chrY 1030800 1029797 chrX 11842144 11843147 stratum3
chrY 1044939 1046329 chrX 6429297 6430692 stratum2
chrY 1052394 1051290 chrX 2498254 2499350 PAR
chrY 1052885 1051747 chrX 13953575 13954738 stratum1
chrY 1058161 1059437 chrX 16928820 16930067 stratum1
chrY 1061476 1062836 chrX 16930156 16931596 stratum1
chrY 1090251 1092906 chrX 17873329 17876005 stratum1
chrY 1093191 1095424 chrX 17876026 17878289 stratum1
chrY 1103301 1101903 chrX 469952 471385 PAR
chrY 1107859 1106496 chrX 6452964 6454337 stratum2
chrY 1108162 1106677 chrX 10468933 10470421 stratum3
chrY 1110121 1111604 chrX 10468955 10470421 stratum3
chrY 1110412 1111642 chrX 6452964 6454195 stratum2
chrY 1143288 1146404 chrX 4199446 4202612 stratum2
chrY 1161117 1159901 chrX 12510589 12511813 stratum1
chrY 1174889 1178886 chrX 1541701 1545699 PAR
chrY 1176091 1179672 chrX 650018 653514 PAR
chrY 1180179 1178970 chrX 3054873 3056087 stratum2
chrY 1187064 1185667 chrX 4706688 4708056 stratum2
chrY 1187255 1186141 chrX 11845188 11846264 stratum3
chrY 1198187 1197164 chrX 18748280 18749316 stratum1
chrY 1209711 1208207 chrX 20616190 20617652 stratum1
chrY 1213752 1214758 chrX 17717301 17718390 stratum1
chrY 1226368 1225360 chrX 6183584 6184613 stratum2
chrY 1228772 1229904 chrX 13951781 13952921 stratum1
chrY 1229390 1228338 chrX 2498296 2499353 PAR
chrY 1229906 1230973 chrX 6197837 6198916 stratum2
chrY 1232298 1230973 chrX 13953575 13954891 stratum1
chrY 1236467 1237690 chrX 16772358 16773600 stratum1
chrY 1241679 1243927 chrX 16776356 16778632 stratum1
chrY 1245369 1246417 chrX 15115474 15116522 stratum1
chrY 1258377 1259621 chrX 16784628 16785902 stratum1
chrY 1292379 1295104 chrX 5334204 5336833 stratum2
chrY 1302721 1304167 chrX 15548033 15549432 stratum1
chrY 1305476 1302723 chrX 20610862 20613639 stratum1
chrY 1305883 1304638 chrX 20354887 20356113 stratum1
chrY 1311607 1312873 chrX 13953681 13954996 stratum1
chrY 1318427 1316847 chrX 4464448 4466058 stratum2
chrY 1320986 1322333 chrX 17577048 17578399 stratum1
chrY 1323272 1324505 chrX 17579655 17580852 stratum1
chrY 1325238 1326368 chrX 17582397 17583536 stratum1
chrY 1354957 1356955 chrX 14617724 14619715 stratum1
chrY 1356158 1357421 chrX 19889992 19891285 stratum1
chrY 1382175 1380828 chrX 17472760 17474114 stratum1
chrY 1385993 1384830 chrX 20354962 20356113 stratum1
chrY 1393874 1392784 chrX 15120406 15121505 stratum1
chrY 1398336 1396584 chrX 17457155 17458942 stratum1
chrY 1410087 1408654 chrX 17442339 17443805 stratum1
chrY 1412993 1414120 chrX 13953747 13954888 stratum1
chrY 1431135 1429978 chrX 15877938 15879119 stratum1
chrY 1434896 1436093 chrX 9986891 9988043 stratum3
chrY 1452726 1453779 chrX 14617724 14618788 stratum1
chrY 1467422 1466423 chrX 12950525 12951568 stratum1
chrY 1472102 1473617 chrX 4200363 4201792 stratum2
chrY 1485314 1487667 chrX 6426850 6429220 stratum2
chrY 1499990 1503036 chrX 4199441 4202501 stratum2
chrY 1504397 1503376 chrX 14267712 14268711 stratum1
chrY 1508440 1510238 chrX 3754651 3756415 stratum2
chrY 1516823 1517859 chrX 2362636 2363651 PAR
chrY 1517861 1516823 chrX 14517127 14518163 stratum1
chrY 1521058 1522205 chrX 20521522 20522646 stratum1
chrY 1522036 1519575 chrX 14617724 14620205 stratum1
chrY 1545309 1546459 chrX 665544 666682 PAR
chrY 1551566 1552716 chrX 665544 666682 PAR
chrY 1576817 1577919 chrX 6893165 6894256 stratum3
chrY 1588102 1589837 chrX 15857884 15859589 stratum1
chrY 1593835 1594871 chrX 15860919 15861953 stratum1
chrY 1596111 1597586 chrX 15861944 15863443 stratum1
chrY 1597666 1599135 chrX 15864176 15865633 stratum1
chrY 1600352 1601446 chrX 15866956 15867985 stratum1
chrY 1602026 1603652 chrX 15868249 15869891 stratum1
chrY 1609142 1610201 chrX 16244347 16245449 stratum1
chrY 1610951 1613150 chrX 16245643 16247755 stratum1
chrY 1613924 1617221 chrX 16247748 16250997 stratum1
chrY 1621066 1622132 chrX 16253039 16254068 stratum1
chrY 1625216 1624163 chrX 6430937 6431981 stratum2
chrY 1632890 1631152 chrX 6423852 6425563 stratum2
chrY 1633809 1635436 chrX 11844166 11845687 stratum3
chrY 1638167 1636958 chrX 8680682 8681890 stratum3
chrY 1638860 1637300 chrX 471297 472837 PAR
chrY 1645215 1643820 chrX 6429297 6430692 stratum2
chrY 1651504 1649995 chrX 6426850 6428375 stratum2
chrY 1670402 1671713 chrX 18010604 18011925 stratum1
chrY 1675436 1673192 chrX 3980837 3983074 stratum2
chrY 1676280 1674755 chrX 3965114 3966647 stratum2
chrY 1680771 1679394 chrX 6429297 6430681 stratum2
chrY 1686974 1685467 chrX 6426851 6428375 stratum2
chrY 1690041 1691118 chrX 18020274 18021360 stratum1
chrY 1693399 1695044 chrX 18022124 18023666 stratum1
chrY 1704683 1706021 chrX 18031714 18033007 stratum1
chrY 1734932 1736747 chrX 16417952 16419703 stratum1
chrY 1751661 1750563 chrX 10468946 10470045 stratum3
chrY 1765561 1764288 chrX 11942213 11943463 stratum3
chrY 1790841 1787920 chrX 18715931 18718853 stratum1
chrY 1794543 1790854 chrX 18711847 18715525 stratum1
chrY 1797660 1798944 chrX 18380715 18382012 stratum1
chrY 1799115 1800366 chrX 18382129 18383403 stratum1
chrY 1813078 1811784 chrX 19889992 19891281 stratum1
chrY 1813645 1811789 chrX 14618351 14620208 stratum1
chrY 1815955 1814274 chrX 18371240 18372928 stratum1
chrY 1817506 1816247 chrX 18369904 18371231 stratum1
chrY 1822639 1821588 chrX 18366815 18367864 stratum1
chrY 1826135 1824924 chrX 18359148 18360403 stratum1
chrY 1844922 1842911 chrX 18353332 18355248 stratum1
chrY 1853381 1851045 chrX 18346798 18349179 stratum1
chrY 1865648 1860577 chrX 18341705 18346691 stratum1
chrY 1915285 1916573 chrX 5537178 5538456 stratum2
chrY 1915975 1913672 chrX 1587 3886 PAR
chrY 1927293 1926001 chrX 19889992 19891277 stratum1
chrY 1927478 1926340 chrX 1027882 1028987 PAR
chrY 1934647 1936475 chrX 14175069 14176887 stratum1
chrY 1962494 1964802 chrX 4199446 4201773 stratum2
chrY 1967572 1968965 chrX 6429297 6430692 stratum2
chrY 1985256 1982774 chrX 1859179 1861501 PAR
chrY 1985880 1984405 chrX 10468944 10470421 stratum3
chrY 2002665 2004243 chrX 9252544 9254144 stratum3
chrY 2028898 2030524 chrX 4199445 4201069 stratum2
chrY 2030529 2028898 chrX 3981512 3983074 stratum2
chrY 2033190 2034347 chrX 13953619 13954833 stratum1
chrY 2037601 2039481 chrX 14618343 14620208 stratum1
chrY 2039488 2038013 chrX 10468944 10470421 stratum3
chrY 2043969 2046113 chrX 3980837 3982945 stratum2
chrY 2046111 2043693 chrX 4199586 4202042 stratum2
chrY 2056388 2058157 chrX 1890329 1892123 PAR
chrY 2058157 2056677 chrX 2620473 2621966 stratum2
chrY 2063673 2062547 chrX 13953776 13954904 stratum1
chrY 2073735 2075604 chrX 3936349 3938248 stratum2
chrY 2074499 2075611 chrX 1555046 1556182 PAR
chrY 2082471 2080330 chrX 14617724 14619908 stratum1
chrY 2093714 2092704 chrX 2362643 2363644 PAR
chrY 2111906 2110743 chrX 18274523 18275685 stratum1
chrY 2134252 2131656 chrX 18263023 18265716 stratum1
chrY 2136393 2134469 chrX 18261026 18262889 stratum1
chrY 2149115 2147856 chrX 18747794 18749042 stratum1
chrY 2155660 2156736 chrX 2725560 2726645 stratum2
chrY 2165181 2161793 chrX 18254933 18258266 stratum1
chrY 2182469 2181305 chrX 13953643 13954833 stratum1
chrY 2197468 2198599 chrX 19889992 19891148 stratum1
chrY 2198540 2197227 chrX 15119589 15120929 stratum1
chrY 2200825 2201976 chrX 14942977 14944158 stratum1
chrY 2205074 2206447 chrX 14950182 14951480 stratum1
chrY 2212213 2213331 chrX 19889992 19891109 stratum1
chrY 2212513 2211513 chrX 339453 340456 PAR
chrY 2227401 2226374 chrX 20616637 20617654 stratum1
chrY 2232681 2234142 chrX 10468944 10470423 stratum3
chrY 2234918 2232688 chrX 14617978 14620208 stratum1
chrY 2256965 2258300 chrX 15119410 15120755 stratum1
chrY 2284774 2282295 chrX 15588956 15591506 stratum1
chrY 2287457 2286449 chrX 12950528 12951566 stratum1
chrY 2296801 2295781 chrX 13953575 13954622 stratum1
chrY 2325824 2323426 chrX 2197 4675 PAR
chrY 2331440 2333099 chrX 5537253 5538919 stratum2
chrY 2338467 2339885 chrX 16840043 16841480 stratum1
chrY 2340511 2341602 chrX 16842360 16843453 stratum1
chrY 2341767 2344369 chrX 16843798 16846372 stratum1
chrY 2349730 2350742 chrX 14517136 14518153 stratum1
chrY 2350739 2351884 chrX 14628650 14629761 stratum1
chrY 2352798 2354186 chrX 16846457 16847815 stratum1
chrY 2363300 2366432 chrX 16852027 16855106 stratum1
chrY 2379836 2381164 chrX 4561433 4562766 stratum2
chrY 2388128 2389187 chrX 1302716 1303764 PAR
chrY 2392326 2395122 chrX 16866661 16869473 stratum1
chrY 2402045 2403679 chrX 16873195 16874915 stratum1
chrY 2407067 2405874 chrX 13953677 13954891 stratum1
chrY 2409051 2407074 chrX 13953575 13955577 stratum1
chrY 2419704 2418583 chrX 1555046 1556180 PAR
chrY 2420438 2418590 chrX 3936368 3938247 stratum2
chrY 2420837 2422933 chrX 3980866 3982881 stratum2
chrY 2423084 2420842 chrX 4199445 4201735 stratum2
chrY 2435080 2436570 chrX 3965115 3966647 stratum2
chrY 2435891 2438190 chrX 3980837 3983073 stratum2
chrY 2450875 2448948 chrX 9643719 9645649 stratum3
chrY 2452356 2450793 chrX 20609267 20610834 stratum1
chrY 2465334 2466902 chrX 15073966 15075584 stratum1
chrY 2466991 2468625 chrX 15076915 15078526 stratum1
chrY 2469487 2470923 chrX 15079325 15080775 stratum1
chrY 2474788 2475951 chrX 20521522 20522646 stratum1
chrY 2475782 2473292 chrX 14617724 14620208 stratum1
chrY 2477294 2480483 chrX 15084941 15088111 stratum1
chrY 2485745 2486833 chrX 6454740 6455849 stratum2
chrY 2500760 2499321 chrX 14618432 14619858 stratum1
chrY 2508167 2509708 chrX 15109029 15110428 stratum1
chrY 2522499 2524318 chrX 1891171 1893010 PAR
chrY 2537614 2538672 chrX 1302716 1303763 PAR
chrY 2545391 2548178 chrX 18152916 18155665 stratum1
chrY 2561961 2560921 chrX 13953620 13954704 stratum1
chrY 2564347 2565614 chrX 13953615 13954900 stratum1
chrY 2569483 2570585 chrX 15606495 15607585 stratum1
chrY 2577129 2578595 chrX 20609261 20610728 stratum1
chrY 2582328 2580933 chrX 6429297 6430692 stratum2
chrY 2591151 2588799 chrX 6426850 6429220 stratum2
chrY 2594965 2593927 chrX 15449378 15450414 stratum1
chrY 2600025 2598360 chrX 15444347 15446032 stratum1
chrY 2603261 2604770 chrX 13953619 13955118 stratum1
chrY 2604772 2603478 chrX 6187801 6189097 stratum2
chrY 2616716 2615333 chrX 15441080 15442546 stratum1
chrY 2621425 2620043 chrX 15404000 15405412 stratum1
chrY 2621499 2620285 chrX 15548192 15549432 stratum1
chrY 2624094 2622941 chrX 15548033 15549172 stratum1
chrY 2627100 2625269 chrX 15431098 15432940 stratum1
chrY 2629405 2628158 chrX 11942219 11943464 stratum3
chrY 2629413 2628159 chrX 15392670 15393903 stratum1
chrY 2633178 2632074 chrX 1860488 1861501 PAR
chrY 2634180 2633028 chrX 339453 340605 PAR
chrY 2635163 2633262 chrX 6452709 6454607 stratum2
chrY 2635256 2636367 chrX 3057581 3058746 stratum2
chrY 2637150 2638248 chrX 3059018 3060116 stratum2
chrY 2644187 2642918 chrX 9986891 9988137 stratum3
chrY 2645086 2647433 chrX 15119410 15121747 stratum1
chrY 2646575 2647736 chrX 20521522 20522646 stratum1
chrY 2661154 2659228 chrX 9643721 9645649 stratum3
chrY 2662645 2659432 chrX 1890135 1893348 PAR
chrY 2677236 2673264 chrX 18284454 18288420 stratum1
chrY 2678641 2677343 chrX 18283022 18284340 stratum1
chrY 2679790 2678713 chrX 18281698 18282807 stratum1
chrY 2712570 2713715 chrX 6893165 6894229 stratum3
chrY 2722082 2720876 chrX 6430988 6432189 stratum2
chrY 2723192 2722089 chrX 18748107 18749209 stratum1
chrY 2727201 2723558 chrX 9254448 9258091 stratum3
chrY 2736799 2738112 chrX 6187047 6188347 stratum2
chrY 2737042 2738423 chrX 6182943 6184324 stratum2
chrY 2738423 2739698 chrX 6198594 6199889 stratum2
chrY 2738505 2740102 chrX 6196689 6198237 stratum2
chrY 2740154 2742038 chrX 6183336 6185214 stratum2
chrY 2740909 2742300 chrX 6196689 6198105 stratum2
chrY 2751597 2752623 chrX 6184199 6185226 stratum2
chrY 2752622 2754002 chrX 6182944 6184324 stratum2
chrY 2754002 2755277 chrX 6198594 6199889 stratum2
chrY 2755276 2756348 chrX 6197837 6198916 stratum2
chrY 2757694 2756348 chrX 13953571 13954891 stratum1
chrY 2760164 2761571 chrX 11945826 11947263 stratum3
chrY 2762700 2770552 chrX 11948645 11956675 stratum3
chrY 2771188 2774248 chrX 11956714 11959761 stratum3
chrY 2774246 2775767 chrX 11960389 11961948 stratum3
chrY 2776109 2780531 chrX 11962262 11966641 stratum3
chrY 2786205 2789197 chrX 11969544 11972529 stratum3
chrY 2792490 2791386 chrX 1860488 1861501 PAR
chrY 2792680 2794357 chrX 14618549 14620208 stratum1
chrY 2794365 2792884 chrX 10468943 10470421 stratum3
chrY 2802234 2799082 chrX 4199445 4202612 stratum2
chrY 2813663 2815073 chrX 11975336 11976765 stratum3
chrY 2823172 2827228 chrX 11977878 11981953 stratum3
chrY 2827231 2834798 chrX 11983553 11991241 stratum3
chrY 2835888 2834800 chrX 20609265 20610337 stratum1
chrY 2836527 2839322 chrX 11991427 11994261 stratum3
chrY 2839348 2844485 chrX 11994589 11999767 stratum3
chrY 2844485 2846489 chrX 11999859 12001886 stratum3
chrY 2850193 2849037 chrX 2498231 2499351 PAR
chrY 2850569 2849263 chrX 13953678 13954996 stratum1
chrY 2876442 2878341 chrX 14618321 14620208 stratum1
chrY 2878353 2876877 chrX 10468938 10470421 stratum3
chrY 2879517 2878352 chrX 13953575 13954754 stratum1
chrY 2879518 2882077 chrX 12003091 12005795 stratum3
chrY 2883032 2886434 chrX 12005875 12009289 stratum3
chrY 2888289 2890032 chrX 12009284 12010968 stratum3
chrY 2890059 2891469 chrX 12011135 12012552 stratum3
chrY 2893419 2896513 chrX 1890132 1893231 PAR
chrY 2898192 2896959 chrX 2400726 2401965 PAR
chrY 2912145 2914058 chrX 12014908 12016778 stratum3
chrY 2914236 2915293 chrX 12019652 12020700 stratum3
chrY 2923716 2921656 chrX 14618160 14620208 stratum1
chrY 2925146 2927156 chrX 1155244 1157177 PAR
chrY 2930265 2931633 chrX 12027047 12028409 stratum3
chrY 2931656 2933004 chrX 12028623 12029986 stratum3
chrY 2933001 2934024 chrX 12950528 12951565 stratum1
chrY 2934021 2939301 chrX 12029970 12035175 stratum3
chrY 2939302 2941428 chrX 15119410 15121544 stratum1
chrY 2941687 2944583 chrX 12035623 12038502 stratum3
chrY 2944623 2945643 chrX 12038874 12039901 stratum3
chrY 2945643 2946740 chrX 12040001 12041116 stratum3
chrY 2947376 2948414 chrX 12041114 12042117 stratum3
chrY 2953024 2954259 chrX 12042754 12043992 stratum3
chrY 2955308 2964097 chrX 12045549 12054295 stratum3
chrY 2964456 2966641 chrX 12054281 12056513 stratum3
chrY 2966641 2967916 chrX 12056614 12057850 stratum3
chrY 2967915 2975018 chrX 12058085 12065296 stratum3
chrY 2975687 2976802 chrX 6893165 6894256 stratum3
chrY 2979641 2978618 chrX 2362642 2363644 PAR
chrY 2979641 2982825 chrX 12068438 12071654 stratum3
chrY 2989105 2990104 chrX 2362643 2363644 PAR
chrY 2991566 2994715 chrX 12071637 12074907 stratum3
chrY 2994963 2996971 chrX 12075550 12077690 stratum3
chrY 3002182 3003297 chrX 12081427 12082565 stratum3
chrY 3003513 3006578 chrX 12082587 12085609 stratum3
chrY 3007470 3012262 chrX 12086741 12091539 stratum3
